time;Azimut:;Inclinazione:;Rotolio:
0,083281;125,694;0,984;-1,045
0,139364;125,694;0,984;-1,045
0,157773;125,982;1,069;-1,279
0,283131;125,849;1,069;-1,279
0,339090;125,849;1,069;-1,279
0,356804;125,844;1,083;-1,253
0,483565;125,711;1,083;-1,253
0,536933;125,711;1,083;-1,253
0,556368;125,736;1,073;-1,298
0,683262;125,685;1,073;-1,298
0,736591;125,685;1,073;-1,298
0,756905;125,600;1,063;-1,209
0,883939;125,519;1,063;-1,209
1,084331;125,564;1,063;-1,209
1,154321;125,513;1,043;-1,175
1,155287;125,513;1,043;-1,175
1,155848;125,513;1,043;-1,175
1,156363;125,513;1,043;-1,175
1,282921;125,597;1,043;-1,175
1,353715;125,766;1,080;-1,330
1,354699;125,766;1,080;-1,330
1,482822;126,446;1,080;-1,330
1,553799;126,368;1,078;-1,239
1,555287;126,368;1,078;-1,239
1,683819;128,292;1,078;-1,239
1,753342;128,291;1,101;-1,210
1,754512;128,291;1,101;-1,210
1,882513;131,800;1,101;-1,210
1,951730;131,579;1,150;-0,920
1,952374;131,579;1,150;-0,920
2,084673;136,419;1,150;-0,920
2,152344;136,349;1,061;-0,935
2,153229;136,349;1,061;-0,935
2,283961;141,476;1,061;-0,935
2,351177;141,476;1,061;-0,935
2,352745;140,785;0,509;-0,759
2,483699;145,296;0,509;-0,759
2,550667;145,296;0,509;-0,759
2,552728;144,737;0,149;-0,539
2,682648;147,218;0,149;-0,539
2,867929;147,218;0,149;-0,539
2,868813;147,661;0,761;-0,515
2,882219;147,027;0,761;-0,515
3,070260;148,955;2,228;-1,193
3,071033;148,955;2,228;-1,193
3,082659;144,653;2,228;-1,193
3,268251;143,125;0,286;-1,384
3,269030;143,125;0,286;-1,384
3,283284;134,136;0,286;-1,384
3,468082;136,960;2,541;-1,418
3,469177;136,960;2,541;-1,418
3,483524;124,041;2,541;-1,418
3,667700;122,004;1,033;-1,831
3,668816;122,004;1,033;-1,831
3,684312;105,686;1,033;-1,831
3,866002;106,375;1,599;-1,134
3,867127;106,375;1,599;-1,134
3,883818;95,395;1,599;-1,134
4,067093;94,513;1,131;-0,880
4,068416;94,513;1,131;-0,880
4,083422;88,975;1,131;-0,880
4,266093;89,271;1,312;-1,084
4,266867;89,271;1,312;-1,084
4,283101;86,428;1,312;-1,084
4,461994;100,387;9,244;-4,603
4,462418;100,387;9,244;-4,603
4,481771;97,546;9,244;-4,603
4,665795;122,052;26,175;-4,029
4,666815;122,052;26,175;-4,029
4,683947;118,996;26,175;-4,029
4,864493;135,158;46,865;-2,094
4,865905;135,158;46,865;-2,094
4,883253;132,102;46,865;-2,094
5,064524;140,710;59,246;-3,831
5,065870;140,710;59,246;-3,831
5,083161;142,678;59,246;-3,831
5,264690;139,770;55,273;-2,888
5,266543;139,770;55,273;-2,888
5,284152;137,207;55,273;-2,888
5,462324;117,343;35,084;0,457
5,463747;117,343;35,084;0,457
5,484405;114,847;35,084;0,457
5,661287;87,515;14,367;-0,940
5,662876;87,515;14,367;-0,940
5,685045;85,205;14,367;-0,940
5,862315;68,715;3,107;-1,341
5,863707;68,715;3,107;-1,341
5,883055;67,233;3,107;-1,341
6,057400;67,235;3,038;-1,155
6,058312;67,235;3,038;-1,155
6,082467;67,267;3,038;-1,155
6,258577;64,696;0,911;-1,161
6,259568;64,696;0,911;-1,161
6,284168;68,189;0,911;-1,161
6,456928;67,937;0,555;-0,768
6,458181;67,937;0,555;-0,768
6,482572;74,197;0,555;-0,768
