time,P
2023-03-27 8:47:53.4760,100097.03
2023-03-27 8:47:54.4200,100097.08
2023-03-27 8:47:55.3680,100097.5
2023-03-27 8:47:56.3090,100097.5
2023-03-27 8:47:57.2620,100096.43
2023-03-27 8:47:58.2000,100094.61
2023-03-27 8:47:59.1420,100092.57
2023-03-27 8:48:00.0920,100089.56
2023-03-27 8:48:01.0360,100085.88
2023-03-27 8:48:01.9820,100082.57
2023-03-27 8:48:02.9290,100079.37
2023-03-27 8:48:03.8710,100076.06
2023-03-27 8:48:04.8190,100073.31
2023-03-27 8:48:05.7630,100071.46
2023-03-27 8:48:06.7110,100069.88
2023-03-27 8:48:07.6520,100068.4
2023-03-27 8:48:08.5990,100066.47
2023-03-27 8:48:09.5440,100064.39
2023-03-27 8:48:10.4940,100062.27
2023-03-27 8:48:11.4320,100060.42
2023-03-27 8:48:12.3810,100059.18
2023-03-27 8:48:13.3230,100058.88
2023-03-27 8:48:14.2700,100058.82
2023-03-27 8:48:15.2150,100058.79
2023-03-27 8:48:16.1600,100058.69
2023-03-27 8:48:17.1020,100058.52
2023-03-27 8:48:18.0530,100058.3
2023-03-27 8:48:18.9940,100058.12
2023-03-27 8:48:19.9430,100058.02
2023-03-27 8:48:20.8830,100058.02
2023-03-27 8:48:21.8340,100058.04
2023-03-27 8:48:22.7780,100058.18
2023-03-27 8:48:23.7240,100058.27
2023-03-27 8:48:24.6670,100058.52
2023-03-27 8:48:25.6140,100058.7
2023-03-27 8:48:26.5590,100058.97
2023-03-27 8:48:27.4970,100059.23
2023-03-27 8:48:28.4500,100059.56
2023-03-27 8:48:29.3920,100059.76
2023-03-27 8:48:30.3360,100059.76
2023-03-27 8:48:31.2850,100058.93
2023-03-27 8:48:32.2290,100057.59
2023-03-27 8:48:33.1700,100055.19
2023-03-27 8:48:34.1220,100051.91
2023-03-27 8:48:35.0650,100048.58
2023-03-27 8:48:36.0130,100045.36
2023-03-27 8:48:36.9530,100042.2
2023-03-27 8:48:37.9010,100039.34
2023-03-27 8:48:38.8440,100036.64
2023-03-27 8:48:39.7920,100034.01
2023-03-27 8:48:40.7320,100031.36
2023-03-27 8:48:41.6840,100028.6
2023-03-27 8:48:42.6200,100026.02
2023-03-27 8:48:43.5750,100023.67
2023-03-27 8:48:44.5120,100021.77
2023-03-27 8:48:45.4640,100020.45
2023-03-27 8:48:46.4030,100019.68
2023-03-27 8:48:47.3550,100019.39
2023-03-27 8:48:48.2920,100019.36
2023-03-27 8:48:49.2460,100019.33
2023-03-27 8:48:50.1790,100019.36
2023-03-27 8:48:51.1370,100019.38
2023-03-27 8:48:52.0670,100019.38
2023-03-27 8:48:53.0270,100019.36
2023-03-27 8:48:53.9570,100019.36
2023-03-27 8:48:54.9170,100019.33
2023-03-27 8:48:55.8510,100019.27
2023-03-27 8:48:56.8080,100019.13
2023-03-27 8:48:57.7410,100019.03
2023-03-27 8:48:58.6970,100018.91
2023-03-27 8:48:59.6300,100018.76
2023-03-27 8:49:00.5870,100018.72
2023-03-27 8:49:01.5210,100018.55
2023-03-27 8:49:02.4670,100017.95
2023-03-27 8:49:03.4100,100017.27
2023-03-27 8:49:04.3570,100016.2
2023-03-27 8:49:05.2990,100014.63
2023-03-27 8:49:06.2460,100013.19
2023-03-27 8:49:07.1890,100012.38
2023-03-27 8:49:08.1330,100011.91
2023-03-27 8:49:09.0800,100011.41
2023-03-27 8:49:10.0250,100010.96
2023-03-27 8:49:10.9670,100009.92
2023-03-27 8:49:11.9130,100008.58
2023-03-27 8:49:12.8570,100006.52
2023-03-27 8:49:13.7970,100004.1
2023-03-27 8:49:14.7460,100001.14
2023-03-27 8:49:15.6940,99998.08
2023-03-27 8:49:16.6360,99995.0
2023-03-27 8:49:17.5840,99992.06
2023-03-27 8:49:18.5220,99989.51
2023-03-27 8:49:19.4690,99987.34
